tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_specimens	geologic_classes	geologic_types	height	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vgp_lat	vgp_lon
0.0106			0.00425	Ma		This study	IE-SPEC:IE-SITE	paleointensity mean						Extrusive	Volcanic Vent		1.09e-05	1.14e-05	1.04e-05	2.57e-07	2.34		9	20.63397	Scoria	Hawaiian Islands	203.54898	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU036	BiCEP_GUI	MU036A01:MU036A02:MU036A03:MU036A04:MU036B01:MU036B02:MU036B03:MU036A05:MU036B05					
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.79222	Basalt	Hawaiian Islands	203.43665	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU100							
	5.0	0.0		Ma		This study								Extrusive	Lava Flow									20.79138	Basalt	Hawaiian Islands	203.43727	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU101							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.83396	Basalt	Hawaiian Islands	203.40012	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU102							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.83425	Basalt	Hawaiian Islands	203.40048	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU103							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.8343	Basalt	Hawaiian Islands	203.40047	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU104							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.83459	Basalt	Hawaiian Islands	203.40086	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU105							
1.49			0.025	Ma		This study								Intrusive	Volcanic Dike		2.88e-05	3.5e-05	2.21e-05				1	20.83446	Basalt	Hawaiian Islands	203.40121	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU106	BiCEP_GUI	MU106A01:MU106A02:MU106B01:MU106B02:MU106A03:MU106A04:MU106A05:MU106B03:MU106B04:MU106C03					
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.83424	Basalt	Hawaiian Islands	203.40146	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU107							
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.83421	Basalt	Hawaiian Islands	203.40163	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU108							
1.55			0.025	Ma		This study								Intrusive	Volcanic Dike		1.88e-05	2.19e-05	1.59e-05				7	20.8344	Alkali Basalt	Hawaiian Islands	203.40202	IE-BICEP:LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU109	BiCEP_GUI	MU109A01:MU109A02:MU109A03:MU109A04:MU109A05:MU109A06:MU109A07					
	5.0	0.0		Ma		This study								Intrusive	Volcanic Dike									20.83456	Basalt	Hawaiian Islands	203.40202	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU110							
