tab 	samples
azimuth	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA122B	OA122
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA122C	OA122
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA123A	OA123
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA123B	OA123
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA124A	OA124
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA125A	OA125
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	OA126A	OA126
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU001A	MU001
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU002A	MU002
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU003A	MU003
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU004A	MU004
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU004B	MU004
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU004C	MU004
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU005A	MU005
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU006A	MU006
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU007A	MU007
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU008A	MU008
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU009A	MU009
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU010A	MU010
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU011A	MU011
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU011B	MU011
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU011C	MU011
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU012A	MU012
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU013A	MU013
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU013B	MU013
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU013C	MU013
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU014A	MU014
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU015A	MU015
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU016A	MU016
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU016B	MU016
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU017A	MU017
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU017B	MU017
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU018A	MU018
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU019A	MU019
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU019B	MU019
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU020A	MU020
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU021A	MU021
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU022A	MU022
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU023A	MU023
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU024A	MU024
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU025A	MU025
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU026A	MU026
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU027A	MU027
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU028A	MU028
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU028B	MU028
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU029A	MU029
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU030A	MU030
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU031A	MU031
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU031B	MU031
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU032A	MU032
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU033A	MU033
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU034A	MU034
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU035A	MU035
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU036A	MU036
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU036B	MU036
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU106A	MU106
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU106B	MU106
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU106C	MU106
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU109A	MU109
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU111A	MU111
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU113B	MU113
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	MU113D	MU113
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML001A	ML001
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML001B	ML001
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML003A	ML003
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML004A	ML004
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML005A	ML005
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML005B	ML005
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML007A	ML007
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML007B	ML007
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML008A	ML008
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML009A	ML009
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML011A	ML011
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML011B	ML011
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML012A	ML012
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML013A	ML013
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML014A	ML014
	This Study								LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:FS-H:FS-LOC-GPS	ML015A	ML015
