tab 	samples
azimuth	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
35.1	This study:10.1029/2008GC002072	-28.0	Extrusive:Igneous	Lava Flow		-78.25		163.32	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc108g	mc1108
56.3	This study:10.1029/2008GC002072	-25.5	Extrusive:Igneous	Lava Flow		-78.25		163.32	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc108h	mc1108
333.8	This study:10.1029/2008GC002072	-43.5	Extrusive:Igneous	Lava Flow		-78.25		163.32	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc108k	mc1108
356.3	This study:10.1029/2008GC002072	-23.0	Extrusive:Igneous	Lava Flow		-78.28		163.54	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc109a	mc1109
91.4	This study:10.1029/2008GC002072	-51.0	Extrusive:Igneous	Lava Flow		-78.28		163.54	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc109c	mc1109
61.9	This study:10.1029/2008GC002072	-46.0	Extrusive:Igneous	Lava Flow		-78.28		163.54	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc109d	mc1109
71.3	This study:10.1029/2008GC002072	-37.5	Extrusive:Igneous	Lava Flow		-78.28		163.54	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc109e	mc1109
122.4	This study:10.1029/2008GC002072	-46.0	Extrusive:Igneous	Lava Flow		-78.28		163.54	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc109i	mc1109
200.0	This study:10.1029/2008GC002072	-73.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc10a	mc1010
224.0	This study:10.1029/2008GC002072	-70.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc10b	mc1010
279.0	This study:10.1029/2008GC002072	-52.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc10c	mc1010
155.0	This study:10.1029/2008GC002072	-37.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc10d	mc1010
174.0	This study:10.1029/2008GC002072	-70.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc10e	mc1010
254.0	This study:10.1029/2008GC002072	-73.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc10f	mc1010
271.0	This study:10.1029/2008GC002072	-31.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc10g	mc1010
289.0	This study:10.1029/2008GC002072	-70.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc10h	mc1010
325.6	This study:10.1029/2008GC002072	-49.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc110a	mc1110
331.6	This study:10.1029/2008GC002072	-47.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc110b	mc1110
337.1	This study:10.1029/2008GC002072	-40.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc110d	mc1110
18.1	This study:10.1029/2008GC002072	-80.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc110g	mc1110
31.1	This study:10.1029/2008GC002072	-84.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc110i	mc1110
176.5	This study:10.1029/2008GC002072	-51.0	Extrusive:Igneous	Lava Flow		-78.22		162.79	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc111a	mc1111
173.0	This study:10.1029/2008GC002072	-45.0	Extrusive:Igneous	Lava Flow		-78.22		162.79	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc111b	mc1111
164.2	This study:10.1029/2008GC002072	-55.0	Extrusive:Igneous	Lava Flow		-78.22		162.79	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc111d	mc1111
174.0	This study:10.1029/2008GC002072	-54.0	Extrusive:Igneous	Lava Flow		-78.22		162.79	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc111e	mc1111
81.7	This study:10.1029/2008GC002072	-91.0	Extrusive:Igneous	Lava Flow		-78.22		162.79	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc111f	mc1111
123.2	This study:10.1029/2008GC002072	-50.0	Extrusive:Igneous	Lava Flow		-78.22		162.79	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc111l	mc1111
260.0	This study:10.1029/2008GC002072	-71.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc112a	mc1112
272.0	This study:10.1029/2008GC002072	-73.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc112b	mc1112
2.0	This study:10.1029/2008GC002072	-71.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc112c	mc1112
4.0	This study:10.1029/2008GC002072	-74.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc112d	mc1112
315.5	This study:10.1029/2008GC002072	-51.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc112g	mc1112
316.5	This study:10.1029/2008GC002072	-54.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc112h	mc1112
294.0	This study:10.1029/2008GC002072	-63.0	Extrusive:Igneous	Lava Flow		-78.24		163.44	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc112j	mc1112
165.2	This study:10.1029/2008GC002072	-62.0	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113a	mc1113
177.5	This study:10.1029/2008GC002072	-61.0	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113b	mc1113
157.0	This study:10.1029/2008GC002072	-52.0	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113c	mc1113
111.2	This study:10.1029/2008GC002072	-85.0	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113e	mc1113
90.1	This study:10.1029/2008GC002072	-68.0	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113f	mc1113
105.9	This study:10.1029/2008GC002072	-65.0	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113g	mc1113
125.1	This study:10.1029/2008GC002072	-52.5	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113h	mc1113
105.0	This study:10.1029/2008GC002072	-52.0	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113j	mc1113
93.2	This study:10.1029/2008GC002072	-62.0	Extrusive:Igneous	Lava Flow		-78.23		162.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc113m	mc1113
84.9	This study:10.1029/2008GC002072	-46.0	Extrusive:Igneous	Lava Flow		-78.22		162.78	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc114a	mc1114
118.4	This study:10.1029/2008GC002072	-59.0	Extrusive:Igneous	Lava Flow		-78.22		162.78	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc114b	mc1114
104.9	This study:10.1029/2008GC002072	-79.0	Extrusive:Igneous	Lava Flow		-78.22		162.78	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc114c	mc1114
136.6	This study:10.1029/2008GC002072	-87.0	Extrusive:Igneous	Lava Flow		-78.22		162.78	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc114d	mc1114
88.9	This study:10.1029/2008GC002072	-82.0	Extrusive:Igneous	Lava Flow		-78.22		162.78	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc114e	mc1114
144.5	This study:10.1029/2008GC002072	-77.0	Extrusive:Igneous	Lava Flow		-78.22		162.78	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc114i	mc1114
47.2	This study:10.1029/2008GC002072	-73.0	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc115a	mc1115
47.1	This study:10.1029/2008GC002072	-62.5	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc115b	mc1115
34.6	This study:10.1029/2008GC002072	-60.5	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc115e	mc1115
41.9	This study:10.1029/2008GC002072	-38.5	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc115g	mc1115
69.8	This study:10.1029/2008GC002072	-38.5	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc115h	mc1115
132.8	This study:10.1029/2008GC002072	-55.0	Extrusive:Igneous	Lava Flow		-78.22		162.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc116a	mc1116
107.1	This study:10.1029/2008GC002072	-36.5	Extrusive:Igneous	Lava Flow		-78.22		162.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc116b	mc1116
95.6	This study:10.1029/2008GC002072	-74.0	Extrusive:Igneous	Lava Flow		-78.22		162.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc116c	mc1116
160.2	This study:10.1029/2008GC002072	-82.0	Extrusive:Igneous	Lava Flow		-78.22		162.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc116i	mc1116
160.9	This study:10.1029/2008GC002072	-82.0	Extrusive:Igneous	Lava Flow		-78.22		162.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc116j	mc1116
181.6	This study:10.1029/2008GC002072	-44.0	Extrusive:Igneous	Lava Flow		-78.24		162.97	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc117a	mc1117
183.4	This study:10.1029/2008GC002072	-43.0	Extrusive:Igneous	Lava Flow		-78.24		162.97	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc117b	mc1117
182.9	This study:10.1029/2008GC002072	-60.0	Extrusive:Igneous	Lava Flow		-78.24		162.97	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc117d	mc1117
189.9	This study:10.1029/2008GC002072	-54.0	Extrusive:Igneous	Lava Flow		-78.24		162.97	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc117e	mc1117
163.1	This study:10.1029/2008GC002072	-50.0	Extrusive:Igneous	Lava Flow		-78.24		162.97	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc117h	mc1117
301.9	This study:10.1029/2008GC002072	-71.0	Extrusive:Igneous	Lava Flow		-78.24		163.14	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc118a	mc1118
306.9	This study:10.1029/2008GC002072	-82.0	Extrusive:Igneous	Lava Flow		-78.24		163.14	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc118c	mc1118
315.1	This study:10.1029/2008GC002072	-81.0	Extrusive:Igneous	Lava Flow		-78.24		163.14	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc118d	mc1118
299.9	This study:10.1029/2008GC002072	-83.0	Extrusive:Igneous	Lava Flow		-78.24		163.14	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc118e	mc1118
302.9	This study:10.1029/2008GC002072	-85.5	Extrusive:Igneous	Lava Flow		-78.24		163.14	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc118f	mc1118
303.9	This study:10.1029/2008GC002072	-78.0	Extrusive:Igneous	Lava Flow		-78.24		163.14	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc118i	mc1118
233.4	This study:10.1029/2008GC002072	-88.0	Extrusive:Igneous	Lava Flow		-78.24		163.14	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc118l	mc1118
91.4	This study:10.1029/2008GC002072	-70.0	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc119a	mc1119
88.1	This study:10.1029/2008GC002072	-71.5	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc119b	mc1119
90.9	This study:10.1029/2008GC002072	-86.0	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc119d	mc1119
106.6	This study:10.1029/2008GC002072	-77.0	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc119e	mc1119
113.1	This study:10.1029/2008GC002072	-71.5	Extrusive:Igneous	Lava Flow		-78.24		162.96	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc119f	mc1119
253.0	This study:10.1029/2008GC002072	-79.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc11a	mc1011
231.0	This study:10.1029/2008GC002072	-77.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc11b	mc1011
238.0	This study:10.1029/2008GC002072	-65.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc11c	mc1011
203.0	This study:10.1029/2008GC002072	-45.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc11d	mc1011
199.0	This study:10.1029/2008GC002072	-35.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc11e	mc1011
197.0	This study:10.1029/2008GC002072	-47.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc11f	mc1011
254.0	This study:10.1029/2008GC002072	-88.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc11g	mc1011
195.0	This study:10.1029/2008GC002072	-34.0	Extrusive:Igneous	Lava Flow		-77.57		166.23	SO-SIGHT:FS-FD	mc11h	mc1011
198.8	This study:10.1029/2008GC002072	-35.5	Extrusive:Igneous	Lava Flow		-78.24		163.09	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc120a	mc1120
223.8	This study:10.1029/2008GC002072	-20.5	Extrusive:Igneous	Lava Flow		-78.24		163.09	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc120b	mc1120
213.8	This study:10.1029/2008GC002072	-42.5	Extrusive:Igneous	Lava Flow		-78.24		163.09	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc120c	mc1120
159.3	This study:10.1029/2008GC002072	-66.0	Extrusive:Igneous	Lava Flow		-78.24		163.09	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc120f	mc1120
138.3	This study:10.1029/2008GC002072	-57.0	Extrusive:Igneous	Lava Flow		-78.24		163.09	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc120j	mc1120
113.8	This study:10.1029/2008GC002072	-48.0	Extrusive:Igneous	Lava Flow		-78.24		163.09	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc120l	mc1120
127.3	This study:10.1029/2008GC002072	-56.0	Extrusive:Igneous	Lava Flow		-78.24		163.09	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc120m	mc1120
198.2	This study:10.1029/2008GC002072	-71.0	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc121a	mc1121
181.2	This study:10.1029/2008GC002072	-77.0	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc121c	mc1121
187.7	This study:10.1029/2008GC002072	-76.0	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc121d	mc1121
156.2	This study:10.1029/2008GC002072	-73.0	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc121e	mc1121
162.7	This study:10.1029/2008GC002072	-74.0	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc121f	mc1121
195.5	This study:10.1029/2008GC002072	-27.5	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc121g	mc1121
200.2	This study:10.1029/2008GC002072	-25.0	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc121i	mc1121
194.7	This study:10.1029/2008GC002072	-35.5	Extrusive:Igneous	Lava Flow		-78.23		162.95	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD	mc121k	mc1121
35.8	This study:10.1029/2008GC002072	-38.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc123a	mc1123
18.3	This study:10.1029/2008GC002072	-30.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc123b	mc1123
44.5	This study:10.1029/2008GC002072	-39.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc123c	mc1123
164.0	This study:10.1029/2008GC002072	-39.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc123f	mc1123
79.3	This study:10.1029/2008GC002072	-29.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc123j	mc1123
138.1	This study:10.1029/2008GC002072	-16.0	Extrusive:Igneous	Lava Flow		-78.19		163.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc124a	mc1124
131.1	This study:10.1029/2008GC002072	-9.5	Extrusive:Igneous	Lava Flow		-78.19		163.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc124d	mc1124
145.4	This study:10.1029/2008GC002072	-26.0	Extrusive:Igneous	Lava Flow		-78.19		163.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc124f	mc1124
83.9	This study:10.1029/2008GC002072	-23.5	Extrusive:Igneous	Lava Flow		-78.19		163.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc124g	mc1124
51.3	This study:10.1029/2008GC002072	-4.5	Extrusive:Igneous	Lava Flow		-78.19		163.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc124h	mc1124
121.3	This study:10.1029/2008GC002072	-24.0	Extrusive:Igneous	Lava Flow		-78.19		163.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc124j	mc1124
156.3	This study:10.1029/2008GC002072	-47.0	Extrusive:Igneous	Lava Flow		-78.19		163.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc124l	mc1124
185.5	This study:10.1029/2008GC002072	-38.5	Intrusive:Igneous	Volcanic Dike		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc125a	mc1125
160.2	This study:10.1029/2008GC002072	-52.0	Intrusive:Igneous	Volcanic Dike		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc125b	mc1125
167.4	This study:10.1029/2008GC002072	-36.5	Intrusive:Igneous	Volcanic Dike		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc125c	mc1125
154.6	This study:10.1029/2008GC002072	-41.0	Intrusive:Igneous	Volcanic Dike		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc125d	mc1125
154.4	This study:10.1029/2008GC002072	-34.0	Intrusive:Igneous	Volcanic Dike		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc125e	mc1125
110.6	This study:10.1029/2008GC002072	-49.5	Intrusive:Igneous	Volcanic Dike		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc125g	mc1125
316.1	This study:10.1029/2008GC002072	-40.0	Intrusive:Igneous	Volcanic Dike		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc125i	mc1125
139.3	This study:10.1029/2008GC002072	-42.5	Intrusive:Igneous	Volcanic Dike		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc125m	mc1125
163.1	This study:10.1029/2008GC002072	-20.0	Extrusive:Igneous	Lava Flow		-78.25		163.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc126a	mc1126
125.8	This study:10.1029/2008GC002072	-2.0	Extrusive:Igneous	Lava Flow		-78.25		163.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc126c	mc1126
52.1	This study:10.1029/2008GC002072	-16.0	Extrusive:Igneous	Lava Flow		-78.25		163.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc126d	mc1126
132.3	This study:10.1029/2008GC002072	-10.0	Extrusive:Igneous	Lava Flow		-78.25		163.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc126e	mc1126
156.4	This study:10.1029/2008GC002072	-12.0	Extrusive:Igneous	Lava Flow		-78.25		163.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc126f	mc1126
112.6	This study:10.1029/2008GC002072	-22.0	Extrusive:Igneous	Lava Flow		-78.25		163.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc126g	mc1126
202.0	This study:10.1029/2008GC002072	-13.0	Extrusive:Igneous	Lava Flow		-78.25		163.74	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc126i	mc1126
175.0	This study:10.1029/2008GC002072	-33.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc127a	mc1127
173.8	This study:10.1029/2008GC002072	-34.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc127b	mc1127
143.8	This study:10.1029/2008GC002072	-29.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc127c	mc1127
125.5	This study:10.1029/2008GC002072	-36.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc127d	mc1127
339.5	This study:10.1029/2008GC002072	-54.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc127f	mc1127
327.2	This study:10.1029/2008GC002072	-52.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc127g	mc1127
290.2	This study:10.1029/2008GC002072	-49.0	Extrusive:Igneous	Lava Flow		-78.25		163.73	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc127i	mc1127
119.7	This study:10.1029/2008GC002072	-61.5	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc128b	mc1128
115.9	This study:10.1029/2008GC002072	-74.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc128c	mc1128
124.4	This study:10.1029/2008GC002072	-83.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc128d	mc1128
94.7	This study:10.1029/2008GC002072	-92.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc128e	mc1128
98.7	This study:10.1029/2008GC002072	-94.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc128f	mc1128
124.9	This study:10.1029/2008GC002072	-84.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc128h	mc1128
102.1	This study:10.1029/2008GC002072	-82.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc128j	mc1128
299.2	This study:10.1029/2008GC002072	-25.5	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc130a	mc1130
308.9	This study:10.1029/2008GC002072	-28.0	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc130b	mc1130
313.6	This study:10.1029/2008GC002072	-25.0	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc130d	mc1130
68.1	This study:10.1029/2008GC002072	-26.5	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc130e	mc1130
225.9	This study:10.1029/2008GC002072	-7.0	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc130g	mc1130
301.9	This study:10.1029/2008GC002072	-25.0	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc130h	mc1130
202.5	This study:10.1029/2008GC002072	-26.0	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc130i	mc1130
241.7	This study:10.1029/2008GC002072	-41.0	Extrusive:Igneous	Lava Flow		-78.21		166.58	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc130j	mc1130
37.2	This study:10.1029/2008GC002072	-33.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc131a	mc1131
48.2	This study:10.1029/2008GC002072	-29.5	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc131b	mc1131
25.7	This study:10.1029/2008GC002072	-24.5	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc131c	mc1131
62.7	This study:10.1029/2008GC002072	-22.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc131d	mc1131
319.2	This study:10.1029/2008GC002072	-33.0	Extrusive:Igneous	Lava Flow		-78.21		166.57	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD	mc131e	mc1131
