tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_b_beta	int_cdrat	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_dang	int_drat	int_drats	int_f	int_frac	int_fvds	int_g	int_gmax	int_k	int_k_max	int_k_min	int_k_prime	int_mad_coe	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_scat	int_treat_dc_field	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU006A		MU006A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU006A		MU006A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU007A		MU007A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU007A		MU007A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU008A		MU008A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU008A		MU008A02
														This Study											3.3600000000000004e-05	3.49e-05	3.24e-05							1.6760077850162205	1.2868860780715004							0.274	0.383	0.162		3.0379594941397148	3.034706095479818						853.0	273.0	Kelvin	IE-BICEP		MU009A		MU009A01
														This Study											3.61e-05	3.74e-05	3.49e-05							1.5936940933360693	1.4325324042008345							0.3	0.408	0.187		1.898438392917902	1.820227632796836						853.0	273.0	Kelvin	IE-BICEP		MU009A		MU009A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU010A		MU010A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU010A		MU010A02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU011A		MU011A01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU011B		MU011B01
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU011B		MU011B02
														This Study																																									Kelvin	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM		MU011C		MU011C01
														This Study											3.79e-05	3.83e-05	3.74e-05							0.6161199253273882	1.1344036265774216							0.011	0.051	-0.027		2.139316287136708	2.185372512005118						853.0	273.0	Kelvin	IE-BICEP		MU012A		MU012A01
														This Study											3.34e-05	3.39e-05	3.3e-05							1.7001692915322513	0.7274793084274496							0.023	0.067	-0.021		4.370235754308454	4.134881859344742						853.0	273.0	Kelvin	IE-BICEP		MU012A		MU012A02
														This Study											1.35e-05	1.42e-05	1.29e-05							1.733727903568949	2.28018859021688							-0.456	-0.359	-0.561		1.5182704748227358	1.5628765705597494						853.0	273.0	Kelvin	IE-BICEP		MU013A		MU013A01
