tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	vadm	vadm_n_samples	vadm_sigma
2.3785	4000.0	757.0	1.6215	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.09e-05			7.25e-07	2.34	6	6	63.98666	Basalt	Iceland	343.15048	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl020	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.32e+22	6	1.01e+21
1.69	5000.0	0.0	2.35	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	4.99e-05	5.74e-05	4.52e-05	3.05e-06	6.112224448897794		4347	64.02672	Basalt	Iceland	343.12228	IE-BICEP	g	isl042		6.972986064184742e+22		4.262045590333359e+21
2.47	2590.0	2350.0	0.12	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	4.83e-05			4.41e-06	9.13	3	3	64.02675	Basalt	Iceland	343.12637	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl045	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	6.75e+22	4	6.16e+21
0.1555	300.0	11.0	0.1445	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	2.06e-05			1.2e-06	5.83	6	6	63.91316	Basalt	Iceland	342.18829	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl051	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	2.88e+22	6	1.68e+21
0.1555	300.0	11.0	0.1445	ka	This study:10.1002/2014JB011828:This study		Extrusive:Igneous	Volcanic Pillow	6.26e-05	7.15e-05	5.47e-05	4.2e-06	6.7092651757188495		4347	63.91739	Basalt	Iceland	342.21059	IE-BICEP	g	isl053		8.753445332359605e+22		5.872918593595903e+21
0.1555	300.0	11.0	0.1445	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	3.46e-05			1.01e-07	0.29	5	5	63.91735	Basalt	Iceland	342.20732	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl054	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.84e+22	6	1.41e+20
0.1555	300.0	11.0	0.1445	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	2.39e-05			3.76e-07	1.57	5	5	63.91763	Basalt	Iceland	342.21682	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl057	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.34e+22	5	5.26e+20
0.1555	300.0	11.0	0.1445	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	2.46e-05			4.59e-08	0.19	3	3	63.91775	Basalt	Iceland	342.21812	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl058	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.44e+22	3	6.42e+19
0.1555	300.0	11.0	0.1445	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	5.06e-05			1.32e-06	2.61	3	3	63.79868	Basalt	Iceland	341.94203	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	isl063	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.08e+22	3	1.85e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	2.6e-05			9.48e-07	3.65	7	7	64.867	Basalt	Iceland	343.65	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	kvk117	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.62e+22	7	1.32e+21
0.0605	110.0	11.0	0.0495	ka	This study:10.1002/2014JB011828:This study	paleointensity mean	Extrusive:Igneous	Volcanic Pillow	2.03e-05			3.08e-06	15.16	6	6	64.81667	Basalt	Iceland	343.51667	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	kvk77	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	2.82e+22	6	4.28e+21
0.34	5.0	0.0	0.003	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.62e-05			1.11e-06	3.05	4	4	-77.84	Basalt	McMurdo	166.69	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1004	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.76e+22	3	1.46e+21
0.074	5.0	0.0	0.0075	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Extrusive:Igneous	Lava Flow	2.62e-05	3.01e-05	2.33e-05	1.6999999999999998e-06	6.48854961832061	5	4347	-77.55	Basalt	McMurdo	166.2	IE-BICEP	g	mc1009		3.4482489655672825e+22		2.2374134509406024e+21
1.33	5.0	0.0	0.01	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.56e-05			1.3e-06	5.1	3	3	-77.47	Basalt	McMurdo	169.23	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	mc1015	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.37e+22		1.71e+21
0.0811	5.0	0.0	0.00755	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.44e-05			2.6e-07	1.07	3	3	-77.88	Basalt	McMurdo	165.3	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1019	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.21e+22	3	3.42e+20
0.77	5.0	0.0	0.016	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	5.6e-05			2.81e-06	5.03	3	3	-77.88	Basalt	McMurdo	165.02	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1020	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.36e+22		3.69e+21
0.18	5.0	0.0	0.04	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Volcanic Dike	4.56e-05			1.07e-06	2.34	9	9	-78.31	Basalt	McMurdo	164.8	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1029	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.99e+22		1.41e+21
0.133	5.0	0.0	0.00585	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.07e-05			1.34e-06	4.36	3	3	-78.35	Basalt	McMurdo	164.3	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1031	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.03e+22	3	1.76e+21
0.12	5.0	0.0	0.01	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.48e-05			5.92e-07	2.39	3	3	-78.39	Basalt	McMurdo	164.23	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	g	mc1035	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.26e+22		7.77e+20
0.12	5.0	0.0	0.02	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.6e-05			3.29e-06	12.65	3	3	-78.39	Basalt	McMurdo	164.27	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	mc1036	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.41e+22		4.32e+21
1.261	5.0	0.0	0.02	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.25e-05			2.3e-06	7.06	3	3	-78.28	Basalt	McMurdo	163.54	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1109	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.27e+22		3.02e+21
2.46	5.0	0.0	0.155	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.13e-05			3.61e-06	11.54	5	5	-78.24	Basalt	McMurdo	162.96	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1115	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.11e+22		4.74e+21
2.28	5.0	0.0	0.12	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.66e-05			1.75e-07	0.66	4	4	-78.24	Basalt	McMurdo	162.97	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-TRM:IE-TT	g	mc1117	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.49e+22		2.3e+20
1.08	5.0	0.0	0.11	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.75e-05			1.8e-06	4.8	4	4	-78.24	Basalt	McMurdo	162.96	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1119	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.93e+22		2.36e+21
1.756	5.0	0.0	0.025	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.41e-05			2.67e-07	1.11	3	3	-78.24	Basalt	McMurdo	163.09	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-TRM:IE-TT	g	mc1120	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.17e+22		3.51e+20
2.505	5.0	0.0	0.03	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	4.04e-05			4.72e-06	11.69	6	6	-78.24	Basalt	McMurdo	162.95	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1121	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	5.31e+22		6.2e+21
1.942	5.0	0.0	0.034	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Extrusive:Igneous	Lava Flow	3.7e-05	4.04e-05	3.37e-05	1.675e-06	4.527027027027027	5	4347	-78.25	Basalt	McMurdo	163.73	IE-BICEP	g	mc1127		4.860216547557399e+22		2.200233166799634e+21
0.882	5.0	0.0	0.04	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.12e-05			1.28e-06	4.09	3	3	-78.26	Basalt	McMurdo	163.08	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1139	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.1e+22		1.68e+21
0.882	5.0	0.0	0.04	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.88e-05	3.24e-05	2.47e-05	1.925e-06	6.684027777777779	7	4347	-78.26	Basalt	McMurdo	163.08	IE-BICEP	g	mc1139	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.782985619247752e+22		2.5285580961985845e+21
2.043	5.0	0.0	0.045	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.47e-05			4.64e-06	13.38	3	3	-78.28	Basalt	McMurdo	163.0	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1140	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.56e+22		6.09e+21
1.225	5.0	0.0	0.01	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	1.6e-05			3.9e-06	24.4	4	4	-77.85	Basalt	McMurdo	166.68	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1142	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	2.1e+22		5.13e+21
1.63	5.0	0.0	0.16	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.27e-05			2.69e-06	11.84	3	3	-78.2	Basalt	McMurdo	162.96	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1147	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	2.98e+22		3.53e+21
1.63	5.0	0.0	0.16	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	2.18e-05	2.5e-05	1.89e-05	1.5250000000000006e-06	6.9954128440367	3	4347	-78.2	Basalt	McMurdo	162.96	IE-BICEP	g	mc1147	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	2.8639735645773977e+22		2.0034677458626297e+21
2.19	5.0	0.0	0.04	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Extrusive:Igneous	Lava Flow	1.23e-05	1.68e-05	8.3e-06	2.125e-06	17.27642276422764	3	4347	-77.72	Basalt	McMurdo	162.63	IE-BICEP	g	mc1154		1.6180542729138102e+22		2.795418967432395e+21
1.5	5.0	0.0	0.025	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3e-05			1.79e-07	0.6	3	3	-77.7	Basalt	McMurdo	162.25	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1155	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	3.95e+22		2.35e+20
1.71	5.0	0.0	0.005	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.28e-05			2.39e-06	7.29	4	4	-77.7	Basalt	McMurdo	162.26	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1157	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.32e+22	4	3.14e+21
1.364	5.0	0.0	0.05	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	8.18e-05			3.33e-06	4.08	3	3	-77.51	Basalt	McMurdo	169.33	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1164	pmagpy-4.2.85: thellier_gui.pmagpy-4.2.85	1.08e+23		4.38e+21
1.451	5.0	0.0	0.03	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Extrusive:Igneous	Lava Flow	2.68e-05	3.33e-05	2.07e-05	3.150000000000001e-06	11.753731343283588	5	4347	-77.51	Basalt	McMurdo	169.33	IE-BICEP	g	mc1165		3.527620010572647e+22		4.14626978854621e+21
1.38	5.0	0.0		Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	4.44e-05			1.17e-07	0.26	3	3	-77.49	Basalt	McMurdo	169.29	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1167	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.84e+22		1.54e+20
1.38	5.0	0.0	0.025	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Extrusive:Igneous	Lava Flow	3.23e-05	3.86e-05	2.45e-05	3.525000000000001e-06	10.913312693498456	4	4347	-77.49	Basalt	McMurdo	169.29	IE-BICEP	g	mc1168		4.251815649462592e+22		4.640139369769548e+21
0.073	5.0	0.0	0.005	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Extrusive:Igneous	Lava Flow	2.28e-05	2.67e-05	1.93e-05	1.8499999999999992e-06	8.114035087719294	4	4347	-77.55	Basalt	McMurdo	166.16	IE-BICEP	g	mc1200		3.000766275379161e+22		2.434832284847126e+21
0.5187	5.0	0.0	0.00215	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	5.32e-05			4.92e-07	0.93	3	3	-77.68	Basalt	McMurdo	166.52	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1207	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7e+22		6.47e+20
0.508	5.0	0.0	0.01	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Igneous:Extrusive	Lava Flow	1.12e-05	1.52e-05	8e-06	1.8e-06	16.071428571428573	1	4347	-77.42391	Basalt	McMurdo	166.81075	IE-BICEP	g	mc1216		1.474594110137068e+22		2.369883391291717e+21
0.157	5.0	0.0	0.005	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.09e-05			4.94e-06	15.99	5	5	-77.51	Basalt	McMurdo	167.44	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-TRM:IE-TT	g	mc1217	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.07e+22		6.5e+21
0.026	5.0	0.0	0.005	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	3.44e-05			2.09e-06	6.08	5	5	-77.56	Basalt	McMurdo	166.98	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	g	mc1218	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.53e+22		2.75e+21
0.06	5.0	0.0	0.01	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Extrusive:Igneous	Lava Flow	1.08e-05	1.44e-05	6.5e-06	1.975e-06	18.287037037037035		4347	-77.58	Basalt	McMurdo	166.25	IE-BICEP	g	mc1303		1.4212940042758076e+22		2.599125609671037e+21
1.9	5.0	0.0	0.1	Ma	10.1029/2020JB020834:10.1029/2008GC002072:10.1029/2020JB020834:This study		Extrusive:Igneous	Lava Flow	3.45e-05	3.77e-05	3.15e-05	1.5500000000000004e-06	4.492753623188407		4347	-78.24	Basalt	McMurdo	163.23	IE-BICEP	g	mc1305		4.531945659977588e+22		2.036091528395728e+21
2.56	5.0	0.0	0.13	Ma	This study:10.1029/2020JB020834:This study	paleointensity mean	Extrusive:Igneous	Lava Flow	6.83e-06			3.6e-08	0.53	3	3	-77.7	Basalt	McMurdo	162.69	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	mc1306	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	8.99e+21		4.74e+19
