tab 	sites
age	age_high	age_low	age_sigma	age_unit	citations	description	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	lat	lithologies	location	lon	method_codes	result_quality	site	software_packages	vadm	vadm_n_samples	vadm_sigma
1.1912	5.0	0.0	0.0076	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	3.23e-05			2.2e-06	6.81	5	5	33.2125	Basalt	Golan Heights	35.78615741	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI28	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	6.06e+22		4.13e+21
0.7496	5.0	0.0	0.04725	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	2.93e-05			2.26e-06	7.71	6	6	33.17944444	Basalt	Golan Heights	35.79321759	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI29	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	5.5e+22		4.24e+21
1.2317	5.0	0.0	0.03785	Ma	This study		Extrusive:Igneous	Volcanic Other								33.18205556	Basalt	Golan Heights	35.79858333	LP-PI-TRM	b	GHI30				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.141	Basalt	Golan Heights	35.679	LP-PI-TRM	b	GHI31				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.141	Basalt	Golan Heights	35.68	LP-PI-TRM	b	GHI32				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.141	Basalt	Golan Heights	35.68	LP-PI-TRM	b	GHI33				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.141	Basalt	Golan Heights	35.68	LP-PI-TRM	b	GHI34				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.141	Basalt	Golan Heights	35.68	LP-PI-TRM	b	GHI35				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.141	Basalt	Golan Heights	35.68	LP-PI-TRM	b	GHI36				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.142	Basalt	Golan Heights	35.679	LP-PI-TRM	b	GHI37				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.142	Basalt	Golan Heights	35.679	LP-PI-TRM	b	GHI38				
0.8476	5.0	0.0	0.05825	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	1.79e-05			3.71e-06	20.71	3	3	33.141	Basalt	Golan Heights	35.682	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI39	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	3.36e+22		6.97e+21
0.7736	5.0	0.0	0.09745	Ma	This study		Extrusive:Igneous	Volcanic Other	6.2e-06	8.6e-06	3.8e-06	1.2000000000000002e-06	19.354838709677423		4347	33.141	Basalt	Golan Heights	35.682	IE-BICEP	g	GHI40		1.164183033063246e+22		2.253257483348219e+21
0.7902	5.0	0.0	0.0029	Ma	This study		Extrusive:Igneous	Volcanic Other	4.2e-06	8e-06	1.1e-06	1.725e-06	41.07142857142858		4347	33.141	Basalt	Golan Heights	35.683	IE-BICEP	g	GHI41		7.886401191718763e+21		3.239057632313064e+21
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.141	Basalt	Golan Heights	35.683	LP-PI-TRM	b	GHI42				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.143	Basalt	Golan Heights	35.687	LP-PI-TRM	b	GHI43				
1.4369	5.0	0.0	0.00975	Ma	This study	paleointensity mean	Extrusive:Igneous	Volcanic Other	4.52e-05			1.7e-06	3.77	4	4	33.042	Basalt	Golan Heights	35.836	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	GHI44	pmagpy-4.2.98: thellier_gui.pmagpy-4.2.98	8.5e+22		3.2e+21
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.042	Basalt	Golan Heights	35.836	LP-PI-TRM	b	GHI45				
2.7442	5.0	0.0	0.02375	Ma	This study		Extrusive:Igneous	Volcanic Other								32.86829	Basalt	Golan Heights	35.82905	LP-PI-TRM	b	GHI46				
0.9699	5.0	0.0	0.0318	Ma	This study		Extrusive:Igneous	Volcanic Other								33.094	Basalt	Golan Heights	35.752	LP-PI-TRM	b	GHI47				
0.7231	5.0	0.0	0.0162	Ma	This study		Extrusive:Igneous	Volcanic Other								33.085	Basalt	Golan Heights	35.753	LP-PI-TRM	b	GHI48				
0.1162	5.0	0.0	0.0044	Ma	This study		Extrusive:Igneous	Volcanic Other								33.065	Basalt	Golan Heights	35.749	LP-PI-TRM	b	GHI49				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.065	Basalt	Golan Heights	35.749	LP-PI-TRM	b	GHI50				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.004	Basalt	Golan Heights	35.684	LP-PI-TRM	b	GHI51				
	5.0	0.0		Ma	This study		Extrusive:Igneous	Volcanic Other								33.004	Basalt	Golan Heights	35.684	LP-PI-TRM	b	GHI52				
0.36153	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	4.57e-05			4.66e-08	0.1	3	3	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h110b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	1.02e+23		1.04e+20
0.3617	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study		Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	4.65e-05	4.95e-05	4.24e-05	1.774999999999999e-06	3.817204301075267		4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h111a		1.036785787680361e+23		3.957623168027182e+21
0.36739	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	4.43e-05			2.46e-06	5.56	6	6	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h119a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	9.88e+22		5.48e+21
0.36739	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	4.83e-05	5.23e-05	4.47e-05	1.8999999999999987e-06	3.933747412008279	6	4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h119a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	1.0769194310744394e+23		4.236329024930505e+21
0.37373	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.96e-05			9.26e-07	3.13	6	5	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h127a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	6.6e+22		2.06e+21
0.0554	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study		Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.78e-05	4.35e-05	3.26e-05	2.725e-06	7.20899470899471		4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h12a		8.428065112756483e+22		6.075787680492439e+21
0.37962	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.14e-05			3.17e-06	14.79	5	5	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h136b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	4.77e+22		7.07e+21
0.37962	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	1.66e-05	2.09e-05	1.24e-05	2.125e-06	12.801204819277109	5	4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h136b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	3.701213779676127e+22		4.737999567356489e+21
0.0634	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study		Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.77e-05	3.18e-05	2.37e-05	2.025e-06	7.310469314079423		4347	19.8278	Basalt	HSDP2	205.0917	IE-BICEP	g	h14a		6.1761217889776335e+22		4.5150348818338304e+21
0.39537	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	2.25e-05			6.98e-07	3.1	6	6	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h154b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	5.02e+22		1.56e+21
0.39965	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.47e-05			3.89e-06	11.19	6	6	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h157b	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	7.74e+22		8.67e+21
0.40026	400.0	0.0	0.0	ka	10.1002/2017JB014683:This study	paleointensity mean	Extrusive:Igneous:Subaerial	Lava Flow:Glassy Margin	3.05e-05			1.28e-06	4.2	4	4	19.8278	Basalt	HSDP2	205.0917	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g	h158a	pmagpy-4.2.94: thellier_gui.pmagpy-4.2.94	6.8e+22		2.85e+21
